INSTNM,CITY,STABBR,ZIP,ACCREDAGENCY,LATITUDE,LONGITUDE,UGDS
Argosy University-Denver,Denver,CO,80231,Western Association of Schools and Colleges Senior Colleges and University Commission,39.65615,-104.901681,153
CollegeAmerica-Colorado Springs,Colorado Springs,CO,80909,Accrediting Commission of Career Schools and Colleges,38.840858,-104.760241,275
CollegeAmerica-Fort Collins,Fort Collins,CO,80525,Accrediting Commission of Career Schools and Colleges,40.568371,-105.092393,118
Automotive Training Center-Warminster,Warminster,PA,18974,Accrediting Commission of Career Schools and Colleges,40.199795,-75.073578,256
Empire Beauty School-Milwaukee,Milwaukee,WI,53221,National Accrediting Commission of Career Arts and Sciences,42.94256,-87.950452,54
The Robert B Miller College,Battle Creek,MI,49017,NULL,42.333225,-85.178861,218
University of Phoenix-Connecticut,Norwalk,CT,06854-1700,NULL,41.09697,-73.443992,9
University of South Florida-St Petersburg,St. Petersburg,FL,33701-9807,Southern Association of Colleges and Schools Commission on Colleges,27.762618,-82.635657,3932
Triangle Tech Inc-Bethlehem,Bethlehem,PA,18017,Accrediting Commission of Career Schools and Colleges,40.65445,-75.428281,118
Arizona State University-Downtown Phoenix,Phoenix,AZ,85004,North Central Association of Colleges and Schools The Higher Learning Commission,33.45343,-112.073231,9158
Milan Institute-Clovis,Fresno,CA,93704,Council on Occupational Education,36.808536,-119.724891,362
Branford Hall Career Institute-Albany Campus,Albany,NY,12205,Accrediting Council for Independent Colleges and Schools,42.743118,-73.84048,205
Harris School of Business-Linwood Campus,Linwood,NJ,8221,Accrediting Council for Independent Colleges and Schools,39.348058,-74.580524,343
The Art Institute of Tennessee-Nashville,Nashville,TN,37214-3439,Southern Association of Colleges and Schools Commission on Colleges,36.154574,-86.635403,740
Strayer University-Florida,Tampa,FL,33634,Middle States Commission on Higher Education,27.99004,-82.548221,1835
Pima Medical Institute-Renton,Renton,WA,98057,Accrediting Bureau of Health Education Schools,47.469017,-122.211383,763
College of Business and Technology-Flagler,Miami,FL,33144,Accrediting Council for Independent Colleges and Schools,25.769052,-80.329161,304
College of Business and Technology-Hialeah,Hialeah,FL,33012,Accrediting Council for Independent Colleges and Schools,25.867003,-80.302213,211
Miller-Motte College-Cary,Cary,NC,27518-7171,Accrediting Council for Independent Colleges and Schools,35.755124,-78.740708,307
Miami-Jacobs Career College-Springboro,Springboro,OH,45066,Accrediting Council for Independent Colleges and Schools,39.560771,-84.253242,88
Dewey University-Juana Diaz,Juana Diaz,PR,910,Accrediting Council for Independent Colleges and Schools,18.060017,-66.508864,214
Dewey University-Fajardo,Fajardo,PR,910,Accrediting Council for Independent Colleges and Schools,18.329214,-65.650722,141
Dewey University-Arroyo,Arroyo,PR,910,NULL,17.974419,-66.051963,90
Regency Beauty Institute-Independence,Kansas City,MO,64136,NULL,39.033691,-94.412518,44
Regency Beauty Institute-St Peters,St. Peters,MO,63376,NULL,38.799569,-90.654425,77
Regency Beauty Institute-Peoria,Peoria,IL,61615,NULL,40.739322,-89.63445,70
Regency Beauty Institute-Greenwood,Indianapolis,IN,46227,NULL,39.638128,-86.123924,52
Regency Beauty Institute-Mehlville,Mehlville,MO,63129,NULL,38.499384,-90.333587,60
Regency Beauty Institute-Duluth,Duluth,MN,55811,NULL,46.808572,-92.16839,56
Regency Beauty Institute-Fairview Heights,Fairview Heights,IL,62208,NULL,38.591245,-89.99059,69
Regency Beauty Institute-Champaign,Champaign,IL,61822,NULL,40.14138,-88.251743,75
Regency Beauty Institute-Olathe,Olathe,KS,66062,NULL,38.90312,-94.780239,45
The College of Health Care Professions-San Antonio,San Antonio,TX,78229,Accrediting Bureau of Health Education Schools,29.488881,-98.576635,436
Everest Institute-South Plainfield,South Plainfield,NJ,7080,Accrediting Commission of Career Schools and Colleges,40.556003,-74.425704,374
Daymar College-Madisonville,Madisonville,KY,42431,NULL,37.35598,-87.489771,51
Brittany Beauty School,Bronx,NY,10458,National Accrediting Commission of Career Arts and Sciences,40.860986,-73.897254,143
Lincoln Technical Institute-Whitestone,Whitestone,NY,11357,Accrediting Commission of Career Schools and Colleges,40.784113,-73.82885,656
American Public University System,Charles Town,WV,25414,North Central Association of Colleges and Schools The Higher Learning Commission,39.288383,-77.859781,40833
Huntsville Bible College,Huntsville,AL,35811-1632,Association for Bibical Higher Educaiton,34.750363,-86.594888,133
Beaumont Adult School,Beaumont,CA,92223,Council on Occupational Education,33.951365,-116.964728,64
Make-up Designory,Burbank,CA,91502-1322,Accrediting Commission of Career Schools and Colleges,34.180238,-118.308336,204
Gnomon School of Visual Effects,Hollywood,CA,90038,Accrediting Commission of Career Schools and Colleges,34.090094,-118.329106,442
Coachella Valley Beauty College,La Quinta,CA,92253,National Accrediting Commission of Career Arts and Sciences,33.70744,-116.277848,68
Valley College of Medical Careers,West Hills,CA,91304,Accrediting Bureau of Health Education Schools,34.22201,-118.605391,124
Academy of Natural Therapy Inc,Greeley,CO,80631-9441,Commission on Massage Therapy Accreditation,40.425601,-104.668812,57
Academy Di Capelli-School of Cosmetology,Wallingford,CT,6492,National Accrediting Commission of Career Arts and Sciences,41.489905,-72.806897,27
Delaware Learning Institute of Cosmetology,Dagsboro,DE,19939,National Accrediting Commission of Career Arts and Sciences,38.543072,-75.255833,69
Dragon Rises College of Oriental Medicine,Gainesville,FL,32601,Accrediting Commission for Acupuncture and Oriental Medicine,29.667368,-82.312769,NULL
Palm Beach Academy of Health & Beauty,Lake Park,FL,33403,Accrediting Commission of Career Schools and Colleges,26.803621,-80.074979,121
SABER College,Miami,FL,33134,Council on Occupational Education,25.771518,-80.261299,553
Taylor College,Belleview,FL,34420,Council on Occupational Education,29.040113,-82.062384,132
Pensacola School of Massage Therapy & Health Careers,Pensacola,FL,32504,Council on Occupational Education,30.494755,-87.195529,101
Ideal Beauty Academy,Jeffersonville,IN,47130,National Accrediting Commission of Career Arts and Sciences,38.29162,-85.725189,19
Success Schools,Merrillville,IN,46410,Council on Occupational Education,41.469618,-87.358016,122
Louisiana Culinary Institute,Baton Rouge,LA,70816,Council on Occupational Education,30.410953,-91.06621,207
Bais Medrash Toras Chesed,Lakewood,NJ,8701,Association of Advanced Rabbinical and Talmudic Schools,40.099704,-74.21127,104
Center for Natural Wellness School of Massage Therapy,Albany,NY,12205,Accrediting Commission of Career Schools and Colleges,42.72093,-73.805687,59
Ace Institute of Technology,New York,NY,10018,NULL,40.715882,-73.843281,140
New Age Training,New York,NY,10001-4034,Accrediting Council for Continuing Education & Training,40.748278,-73.99151,172
Dayton School of Medical Massage,Dayton,OH,45429,Accrediting Commission of Career Schools and Colleges,39.682757,-84.169069,245
Northcoast Medical Training Academy,Kent,OH,44240,Accrediting Commission of Career Schools and Colleges,41.154749,-81.325903,146
American Institute of Medical Technology,Tulsa,OK,74146,Accrediting Bureau of Health Education Schools,36.061988,-95.923639,88
Visible Music College,Memphis,TN,38103,Transnational Association of Christian Colleges and Schools,35.14455,-90.049231,109
CCI Training Center-Arlington,Arlington,TX,76011,Accrediting Council for Continuing Education & Training,32.75582,-97.100336,133
Champion Beauty College,Houston,TX,77068,Council on Occupational Education,29.99352,-95.489211,49
Southeast Texas Career Institute,Silsbee,TX,77656,Council on Occupational Education,30.341896,-94.169885,105
Southwest Applied Technology College,Cedar City,UT,84720,Council on Occupational Education,37.664147,-113.069906,191
Academy of Cosmetology,Janesville,WI,53548-3307,National Accrediting Commission of Career Arts and Sciences,42.679705,-89.048961,50
Milwaukee Career College,Milwaukee,WI,53222,Accrediting Bureau of Health Education Schools,43.074192,-88.048714,126
University of the West,Rosemead,CA,91770,Western Association of Schools and Colleges Senior Colleges and University Commission,34.045985,-118.082964,99
South University-Tampa,Tampa,FL,33614-7095,Southern Association of Colleges and Schools Commission on Colleges,27.982269,-82.500357,585
Milan Institute of Cosmetology-San Antonio Military,San Antonio,TX,78221,National Accrediting Commission of Career Arts and Sciences,29.358223,-98.500563,161
Appalachian College of Pharmacy,Oakwood,VA,24631,Southern Association of Colleges and Schools Commission on Colleges,37.211496,-82.005227,NULL
Averett University-Non-Traditional Programs,Danville,VA,24541,Southern Association of Colleges and Schools Commission on Colleges,36.577257,-79.413195,609
Paul Mitchell the School-Tampa,Tampa,FL,33625,National Accrediting Commission of Career Arts and Sciences,28.06864,-82.574571,264
Paul Mitchell the School-San Diego,San Diego,CA,92101,National Accrediting Commission of Career Arts and Sciences,32.719045,-117.16078,244
Paul Mitchell the School-Michigan,Sterling Heights,MI,48313,National Accrediting Commission of Career Arts and Sciences,42.593991,-83.028641,204
Paul Mitchell the School-Sherman Oaks,Sherman Oaks,CA,91403,National Accrediting Commission of Career Arts and Sciences,34.15532,-118.466971,282
Paul Mitchell the School-Mclean,McLean,VA,22102,National Accrediting Commission of Career Arts and Sciences,38.916227,-77.221586,209
Miami-Jacobs Career College-Troy,Troy,OH,45373,Accrediting Council for Independent Colleges and Schools,40.028964,-84.226144,145
Blue Cliff College-Houma,Houma,LA,70360,Accrediting Commission of Career Schools and Colleges,29.59157,-90.718451,284
The Art Institute of Salt Lake City,Draper,UT,84020,Accrediting Council for Independent Colleges and Schools,40.534174,-111.895543,209
Fortis College-Columbus,Westerville,OH,43081,Accrediting Bureau of Health Education Schools,40.083063,-82.900188,661
Fortis College-Cincinnati,Cincinnati,OH,45246,Accrediting Bureau of Health Education Schools,39.283312,-84.444969,417
Fortis Institute-Baltimore,Baltimore,MD,21244,Accrediting Commission of Career Schools and Colleges,39.309556,-76.749455,314
The Art Institute of Charleston,Charleston,SC,29401,Southern Association of Colleges and Schools Commission on Colleges,32.781424,-79.926971,488
Argosy University-The Art Institute of California-Sacramento,Sacramento,CA,95833,Western Association of Schools and Colleges Senior Colleges and University Commission,38.62211,-121.519083,731
Blue Cliff College-Fayetteville,Fayetteville,AR,72703,Accrediting Commission of Career Schools and Colleges,36.11393,-94.144491,284
Blue Cliff College-Alexandria,Alexandria,LA,71301,Accrediting Commission of Career Schools and Colleges,31.275718,-92.47662,486
Ultimate Medical Academy-Tampa,Tampa,FL,33612-7237,Accrediting Bureau of Health Education Schools,28.035202,-82.4573,13372
Beauty Schools of America-North Miami Beach,North Miami Beach,FL,33162,Council on Occupational Education,25.926365,-80.163613,323
Virginia College-Biloxi,Biloxi,MS,39532,Accrediting Council for Independent Colleges and Schools,30.444238,-88.93227,313
ITT Technical Institute-St Petersburg,Tampa,FL,33634,NULL,27.98277,-82.547431,102
ITT Technical Institute-Baton Rouge,Baton Rouge,LA,70817,NULL,30.36585,-91.024815,632
ITT Technical Institute-Columbia,Columbia,SC,29210,NULL,34.03282,-81.104851,254
ITT Technical Institute-Wichita,Wichita,KS,67226,NULL,37.74162,-97.242461,131
ITT Technical Institute-Atlanta,Atlanta,GA,30349,NULL,33.612408,-84.405422,410
ITT Technical Institute-Mobile,Mobile,AL,36606,NULL,30.668032,-88.119728,566
ITT Technical Institute-Chattanooga,Chattanooga,TN,37411,NULL,35.009886,-85.215739,136
ITT Technical Institute-South Bend,South Bend,IN,46635,NULL,41.711631,-86.20392,142
Virginia College-Chattanooga,Chattanooga,TN,37411,Accrediting Council for Independent Colleges and Schools,35.007264,-85.210544,287
Strayer University-Delaware,Newark,DE,19713,Middle States Commission on Higher Education,39.6862,-75.659921,246
Brite Divinity School,Fort Worth,TX,76129,Southern Association of Colleges and Schools Commission on Colleges,32.709543,-97.361561,NULL
Strayer University-Alabama,Birmingham,AL,35243,Middle States Commission on Higher Education,33.43873,-86.717661,442
Brown Aveda Institute-Rocky River,Rocky River,OH,44116,National Accrediting Commission of Career Arts and Sciences,41.482182,-81.837528,138
Clary Sage College,Tulsa,OK,74145,Accrediting Council for Independent Colleges and Schools,36.117058,-95.903835,354
Broadview University-Layton,Layton,UT,84041,NULL,41.068684,-111.981552,91
International Academy of Design and Technology-Sacramento,Sacramento,CA,95834,NULL,38.655362,-121.520835,6
University of Phoenix-Alabama,Birmingham,AL,35242-2982,North Central Association of Colleges and Schools The Higher Learning Commission,33.417172,-86.683445,98
Sanford-Brown College-San Antonio,San Antonio,TX,78229,Accrediting Council for Independent Colleges and Schools,29.518459,-98.557972,180
University of Phoenix-Washington DC,Washington,DC,20001-1431,North Central Association of Colleges and Schools The Higher Learning Commission,38.897855,-77.009974,183
Argosy University-Inland Empire,Ontario,CA,91761,Western Association of Schools and Colleges Senior Colleges and University Commission,34.06641,-117.578381,330
Argosy University-Nashville,Nashville,TN,37214,Western Association of Schools and Colleges Senior Colleges and University Commission,36.154664,-86.634674,159
Argosy University-San Diego,San Diego,CA,92108,Western Association of Schools and Colleges Senior Colleges and University Commission,32.775512,-117.158047,193
Rasmussen College-Wisconsin,Green Bay,WI,54303-2349,North Central Association of Colleges and Schools The Higher Learning Commission,44.526244,-88.080783,837
Empire Beauty School-Lisle,Lisle,IL,60532,NULL,41.779137,-88.107234,42
Empire Beauty School-Richmond,Richmond,VA,23294,National Accrediting Commission of Career Arts and Sciences,37.636022,-77.548933,86
Empire Beauty School-North Hills,Pittsburgh,PA,15237,National Accrediting Commission of Career Arts and Sciences,40.520206,-80.004989,98
Empire Beauty School-Concord,Concord,NC,28027,National Accrediting Commission of Career Arts and Sciences,35.364501,-80.713322,84
Lexington Healing Arts Academy,Lexington,KY,40503,Accrediting Bureau of Health Education Schools,38.014223,-84.522569,163
Empire Beauty School-Hooksett,Hooksett,NH,3106,National Accrediting Commission of Career Arts and Sciences,43.056383,-71.441338,112
The Institute of Beauty and Wellness,Milwaukee,WI,53202-0000,National Accrediting Commission of Career Arts and Sciences,43.035096,-87.90648,202
InterCoast Colleges-Carson,Carson,CA,90745,NULL,33.833177,-118.259112,33
InterCoast Career Institute-South Portland,Granada Hills,CA,91394,NULL,43.638368,-70.357301,18
Carrington College-Stockton,Stockton,CA,95207,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,37.998992,-121.323199,583
Carrington College-Citrus Heights,Citrus Heights,CA,95621,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,38.679983,-121.29421,568
Trend Barber College,Houston,TX,77090-3700,Council on Occupational Education,30.013479,-95.449968,112
Euphoria Institute of Beauty Arts & Sciences-Summerlin,Las Vegas,NV,89117,Accrediting Council for Independent Colleges and Schools,36.147416,-115.300578,257
Euphoria Institute of Beauty Arts & Sciences-Green Valley,Henderson,NV,89052,NULL,35.991238,-115.102942,155
Empire Beauty School-Portsmouth,Portsmouth,NH,3801,National Accrediting Commission of Career Arts and Sciences,43.033092,-70.782274,141
LIU Riverhead,Riverhead,NY,11901-3499,Middle States Commission on Higher Education,40.876143,-72.6991,39
Regency Beauty Institute-Lakewood,Lakewood,CO,80226,NULL,39.717471,-105.079689,46
Regency Beauty Institute-Westminster,Westminster,CO,80031,NULL,39.85815,-105.0727,85
Regency Beauty Institute-Avon,Indianapolis,IN,46214,NULL,39.765479,-86.306757,26
Regency Beauty Institute-Joliet,Joliet,IL,60431,NULL,41.576664,-88.161333,54
Regency Beauty Institute-Rockford,Rockford,IL,61108,NULL,42.264469,-88.982031,97
Regency Beauty Institute-Greenfield,Greenfield,WI,53220,NULL,42.959163,-88.012889,52
Regency Beauty Institute-East Tucson,Tucson,AZ,85710,NULL,32.22229,-110.838125,80
Regency Beauty Institute-Tri-County,Springdale,OH,45246,NULL,39.286126,-84.464046,31
Regency Beauty Institute-Eastgate,Cincinnati,OH,45245,NULL,39.096687,-84.275642,53
Regency Beauty Institute-Topeka,Topeka,KS,66604,NULL,39.031146,-95.760864,47
Columbia Southern University,Orange Beach,AL,36561-9000,Distance Education Accrediting Commission,30.330964,-87.652505,14982
Arizona Summit Law School,Phoenix,AZ,85004,American Bar Association,33.44871,-112.073152,NULL
Arizona Culinary Institute,Scottsdale,AZ,85259,Accrediting Commission of Career Schools and Colleges,33.581935,-111.831237,94
InfoTech Career College,Paramount,CA,90723-5258,Council on Occupational Education,33.88973,-118.150161,128
Trident University International,Cypress,CA,90630-5041,Western Association of Schools and Colleges Senior Colleges and University Commission,33.805244,-118.034759,3876
Coastline Beauty College,Fountain Valley,CA,92708,National Accrediting Commission of Career Arts and Sciences,33.72854,-117.920951,191
Career College Consultants,Los Angeles,CA,90041,Accrediting Council for Continuing Education & Training,34.14257,-118.223191,128
Montessori Casa International,Denver,CO,80230,Montessori Accreditation Council for Teacher Education,39.721005,-104.899052,12
Branford Academy of Hair and Cosmetology,Branford,CT,6405,National Accrediting Commission of Career Arts and Sciences,41.2763,-72.853601,34
Academy of Massage and Bodywork,Bear,DE,19701,Accrediting Commission of Career Schools and Colleges,39.628597,-75.667515,74
Digital Media Arts College,Boca Raton,FL,33487,Accrediting Council for Independent Colleges and Schools,26.39558,-80.110711,273
Academy for Five Element Acupuncture,Gainesville,FL,32601,Accrediting Commission for Acupuncture and Oriental Medicine,29.650075,-82.321994,NULL
Academy of Career Training,Kissimmee,FL,34741,National Accrediting Commission of Career Arts and Sciences,28.306092,-81.439569,71
Miami Regional University,Miami Springs,FL,33166,Accrediting Council for Independent Colleges and Schools,25.77743,-80.264501,943
Paul Mitchell the School-Miami,Miami,FL,33156,National Accrediting Commission of Career Arts and Sciences,25.686486,-80.313374,101
Wolford College,Naples,FL,34108,NULL,26.268251,-81.791959,NULL
Aveda Institute-South Florida,Davie,FL,33328,National Accrediting Commission of Career Arts and Sciences,26.044561,-80.251738,520
Aveda Institute-Tallahassee,Tallahassee,FL,32304,National Accrediting Commission of Career Arts and Sciences,30.442008,-84.319052,544
Shear Excellence Hair Academy,Tampa,FL,33614,National Accrediting Commission of Career Arts and Sciences,28.025521,-82.502609,115
Carlson College of Massage Therapy,Anamosa,IA,52205,Commission on Massage Therapy Accreditation,42.103958,-91.356196,36
SOLEX Medical Academy,Chicago,IL,60601-3608,NULL,41.88541,-87.627071,0
MyComputerCareer.com-Indianapolis,Indianapolis,IN,46278,Accrediting Council for Continuing Education & Training,39.91706,-86.220031,210
Z Hair Academy,Overland Park,KS,66223,National Accrediting Commission of Career Arts and Sciences,38.939914,-95.262052,107
DiGrigoli School of Cosmetology,West Springfield,MA,1089,National Accrediting Commission of Career Arts and Sciences,42.14632,-72.630273,25
Millennium Training Institute,Woburn,MA,1801,Accrediting Commission of Career Schools and Colleges,42.495839,-71.127076,133
Elevate Salon Institute,Clinton Township,MI,48036,National Accrediting Commission of Career Arts and Sciences,42.577735,-82.884196,102
Lakewood School of Therapeutic Massage,Port Huron,MI,48060,Commission on Massage Therapy Accreditation,42.972344,-82.425648,27
The Salon Spa Academy,Battle Creek,MI,49015,National Accrediting Commission of Career Arts and Sciences,42.29746,-85.223862,69
Academy of Hair Design-Springfield,Springfield,MO,65804,National Accrediting Commission of Career Arts and Sciences,37.179756,-93.263613,140
Corinth Academy of Cosmetology,Corinth,MS,38834,National Accrediting Commission of Career Arts and Sciences,34.934036,-88.520546,139
Southeastern Institute-Charlotte,Charlotte,NC,28217,Accrediting Commission of Career Schools and Colleges,35.16764,-80.887311,248
Gentle Healing School of Massage,Cranbury,NJ,8512,Accrediting Commission of Career Schools and Colleges,40.319144,-74.507261,11
Yeshivas Be'er Yitzchok,Elizabeth,NJ,7208,Association of Institutions of Jewish Studies,40.682465,-74.213255,49
Yeshiva Toras Chaim,Lakewood,NJ,8701,Association of Advanced Rabbinical and Talmudic Schools,40.098692,-74.182143,211
Talmudical Seminary of Bobov,Brooklyn,NY,11219,Association of Advanced Rabbinical and Talmudic Schools,40.634729,-73.995267,362
New York Methodist Hospital Center for Allied Health Education,Brooklyn,NY,11229,Accrediting Bureau of Health Education Schools,40.608669,-73.959024,268
Monroe 2 Orleans BOCES-Center for Workforce Development,Rochester,NY,14624,Council on Occupational Education,43.152828,-77.743851,63
Aveda Fredric's Institute-Cincinnati,West Chester,OH,45069,National Accrediting Commission of Career Arts and Sciences,39.35481,-84.361571,211
MyComputerCareer.com-Columbus,Westerville,OH,43082,Accrediting Council for Continuing Education & Training,40.145779,-82.943182,223
CDE Career Institute,Tannersville,PA,18372,Council on Occupational Education,41.034783,-75.302804,37
Instituto Educativo Premier,Ponce,PR,730,Accrediting Commission of Career Schools and Colleges,18.01291,-66.611494,124
Charleston School of Law,Charleston,SC,29403,American Bar Association,32.790803,-79.938087,NULL
Elite College of Cosmetology,Lexington,TN,38351,National Accrediting Commission of Career Arts and Sciences,35.657847,-88.409239,59
Memphis Institute of Barbering,Memphis,TN,38107,National Accrediting Commission of Career Arts and Sciences,35.158149,-90.014448,141
Manuel and Theresa's School of Hair Design-Bryan,Bryan,TX,77803,National Accrediting Commission of Career Arts and Sciences,30.675408,-96.373463,31
Southwest University at El Paso,El Paso,TX,79925,Accrediting Bureau of Health Education Schools,31.788352,-106.413168,1469
Paul Mitchell the School-Austin,Austin,TX,78759,National Accrediting Commission of Career Arts and Sciences,30.38632,-97.742121,180
Aveda Institute-Provo,Provo,UT,84601,National Accrediting Commission of Career Arts and Sciences,40.23664,-111.658664,121
Dixie Applied Technology College,Saint George,UT,84770,Council on Occupational Education,37.082803,-113.606286,427
Dominion School of Hair Design,Gloucester Point,VA,23062,National Accrediting Commission of Career Arts and Sciences,37.259953,-76.493641,41
Victoria's Academy of Cosmetology,Kennewick,WA,99336,National Accrediting Commission of Career Arts and Sciences,46.208886,-119.122296,86
Inland Massage Institute,Spokane,WA,99218-1257,Accrediting Council for Continuing Education & Training,47.7443,-117.397181,35
Sunnyside Beauty Academy,Sunnyside,WA,98944,National Accrediting Commission of Career Arts and Sciences,46.324684,-119.986499,13
Wisconsin Academy,Peshtigo,WI,54157,National Accrediting Commission of Career Arts and Sciences,45.054091,-87.727785,14
The Art Institute of Pittsburgh-Online Division,Pittsburgh,PA,15222-4332,Middle States Commission on Higher Education,40.43748,-79.999455,6883
University of South Florida-Sarasota-Manatee,Sarasota,FL,34243-2049,Southern Association of Colleges and Schools Commission on Colleges,27.391766,-82.562951,1752
Brown Mackie College-Indianapolis,Indianapolis,IN,46204,Accrediting Council for Independent Colleges and Schools,39.783638,-86.157795,770
CollegeAmerica-Cheyenne,Cheyenne,WY,82009,Accrediting Commission of Career Schools and Colleges,41.175818,-104.827868,50
Paul Mitchell the School-San Antonio,San Antonio,TX,78229,Council on Occupational Education,29.49089,-98.584831,248
Centro de Estudios Multidisciplinarios-Bayamon,Bayamón,PR,961,Accrediting Commission of Career Schools and Colleges,18.398812,-66.155641,522
Bryant & Stratton College-Wauwatosa,Wauwatosa,WI,53226,Middle States Commission on Higher Education,43.043215,-88.050983,666
Minnesota School of Business-Blaine,Blaine,MN,55449,NULL,45.160645,-93.168177,179
The Art Institute of Michigan,Novi,MI,48377-2985,North Central Association of Colleges and Schools The Higher Learning Commission,42.498643,-83.442576,790
The Art Institute of Austin,Austin,TX,78728,Southern Association of Colleges and Schools Commission on Colleges,30.479556,-97.676358,1044
Argosy University-The Art Institute of California-Silicon Valley,Sunnyvale,CA,94086,Western Association of Schools and Colleges Senior Colleges and University Commission,37.37317,-121.99938,226
Remington College-Houston Southeast Campus,Webster,TX,77598,Accrediting Commission of Career Schools and Colleges,29.52314,-95.12426,365
Remington College-Shreveport Campus,Shreveport,LA,71101,Accrediting Commission of Career Schools and Colleges,32.403166,-93.793578,307
National American University-Austin,Austin,TX,78727-1208,North Central Association of Colleges and Schools The Higher Learning Commission,30.43869,-97.697651,138
National American University-Wichita,Wichita,KS,67206-1097,North Central Association of Colleges and Schools The Higher Learning Commission,37.722498,-97.251731,174
Fortis College-Landover,Landover,MD,20785-2223,Accrediting Council for Independent Colleges and Schools,38.949933,-76.866393,514
Jenny Lea Academy of Cosmetology,Johnson City,TN,37601,National Accrediting Commission of Career Arts and Sciences,36.32439,-82.354566,100
ITT Technical Institute-Madison,Madison,AL,35758,NULL,34.673838,-86.761493,295
ITT Technical Institute-Clive,Clive,IA,50325,NULL,41.609177,-93.77785,108
ITT Technical Institute-Columbus,Columbus,OH,43232,NULL,39.934326,-82.869711,298
ITT Technical Institute-Phoenix,Phoenix,AZ,85021,NULL,33.578675,-112.114931,186
ITT Technical Institute-Madison,Madison,WI,53713,NULL,43.036277,-89.380335,123
ITT Technical Institute-High Point,High Point,NC,27265,NULL,36.051087,-79.95817,345
The Hair Academy,Bismarck,ND,58501,National Accrediting Commission of Career Arts and Sciences,46.805954,-100.760039,60
The Art Institutes International-Kansas City,Lenexa,KS,66214-1625,Accrediting Council for Independent Colleges and Schools,38.979003,-94.709655,183
The Art Institute of Raleigh-Durham,Durham,NC,27701,Southern Association of Colleges and Schools Commission on Colleges,35.992754,-78.904709,531
Le Cordon Bleu College of Culinary Arts-Sacramento,Sacramento,CA,95834,Accrediting Council for Independent Colleges and Schools,38.655362,-121.521168,348
Le Cordon Bleu College of Culinary Arts-Seattle,Tukwila,WA,98188,Accrediting Council for Independent Colleges and Schools,47.45122,-122.25504,429
Le Cordon Bleu College of Culinary Arts-Cambridge,Cambridge,MA,2142,Accrediting Council for Independent Colleges and Schools,42.364249,-71.078675,352
Le Cordon Bleu College of Culinary Arts-Dallas,Dallas,TX,75234,Accrediting Council for Independent Colleges and Schools,32.91172,-96.87129,848
Ross Medical Education Center-New Baltimore,New Baltimore,MI,48047,Accrediting Bureau of Health Education Schools,42.676866,-82.751187,134
Ross College-Sylvania,Sylvania,OH,43560,Accrediting Bureau of Health Education Schools,41.710885,-83.680875,459
Argosy University-Salt Lake City,Draper,UT,84020,Western Association of Schools and Colleges Senior Colleges and University Commission,40.534344,-111.895536,82
Escuela De Troqueleria Y Herramentaje,Bayamon,PR,959,NULL,18.372112,-66.14229,89
Virginia College-Montgomery,Montgomery,AL,36117-2800,Accrediting Council for Independent Colleges and Schools,32.382138,-86.193497,469
Fortis Institute-Nashville,Nashville,TN,37211,Accrediting Bureau of Health Education Schools,36.153255,-86.810737,348
Beckfield College-Tri-County,Springdale,OH,45246,Accrediting Council for Independent Colleges and Schools,39.296683,-84.481426,443
Elite Welding Academy LLC,Cincinnati,OH,45246-1013,Accrediting Council for Continuing Education & Training,39.31458,-84.468531,62
Galen College of Nursing-Cincinnati,Cincinnati,OH,45241,Southern Association of Colleges and Schools Commission on Colleges,39.283693,-84.365946,372
Pinnacle Career Institute-North Kansas City,Kansas City,MO,64153,Accrediting Council for Independent Colleges and Schools,39.301199,-94.684474,135
Strayer University-North Carolina,Morrisville,NC,27560,Middle States Commission on Higher Education,35.86518,-78.822371,3100
Strayer University-New Jersey,Cherry Hill,NJ,8002,Middle States Commission on Higher Education,39.93909,-75.016011,688
American National University-Dayton,Kettering,OH,45420,Accrediting Council for Independent Colleges and Schools,39.700131,-84.126973,111
American National University-Youngstown,Youngstown,OH,44505,Accrediting Council for Independent Colleges and Schools,41.144911,-80.663894,98
American National University-Cincinnati,Cincinnati,OH,45237,NULL,39.190562,-84.473719,93
Harris School of Business-Hamilton Campus,Hamilton,NJ,8619,Accrediting Council for Independent Colleges and Schools,40.259627,-74.676809,239
Empire Beauty School-Eden Prairie,Eden Prairie,MN,55344,NULL,44.865037,-93.441627,22
Ohio Business College-Hilliard,Hilliard,OH,43026,NULL,40.047545,-83.124268,123
The Ohio Media School-Columbus,Columbus,OH,43213,Accrediting Commission of Career Schools and Colleges,39.955294,-82.8554,80
Ohio Medical Career College,Dayton,OH,45417,Accrediting Council for Independent Colleges and Schools,39.742339,-84.195816,255
Ohio Technical College-PowerSport Institute,North Randall,OH,44128,Accrediting Commission of Career Schools and Colleges,41.433065,-81.532953,225
Toledo Restaurant Training Center,Sylvania,OH,43560,NULL,41.67803,-83.627071,24
The King's College,New York,NY,10004,Middle States Commission on Higher Education,40.639967,-74.117851,490
Chamberlain College of Nursing-Illinois,Addison,IL,60101,North Central Association of Colleges and Schools The Higher Learning Commission,41.949727,-88.038558,15122
Chamberlain College of Nursing-Ohio,Columbus,OH,43209,North Central Association of Colleges and Schools The Higher Learning Commission,39.940449,-82.940493,757
